id_department,department_name,terrain_area,old_antenna,new_antenna_type
3,Arauca,1201200,2,d
20,Meta,1670200,26,c
20,Meta,263400,22,b
13,Cordoba,21200,8,a
28,Sucre,646400,7,d
13,Cordoba,230200,21,e
16,Guaviare,1162800,20,c
15,Guainia,1435600,19,d
27,Santander,1015400,6,d
15,Guainia,203800,8,a
19,Magdalena,1471000,24,d
19,Magdalena,1686400,19,a
26,San Andres y Providencia,1357600,15,d
31,Vaupes,1142800,7,e
22,Norte de Santander,1191200,6,c
15,Guainia,949800,26,b
26,San Andres y Providencia,1899600,1,a
1,Amazonas,262000,30,a
32,Vichada,492200,9,b
17,Huila,179000,25,d
1,Amazonas,1520800,1,c
24,Quindio,514600,21,a
28,Sucre,1967000,10,c
14,Cundinamarca,764400,29,a
12,Choco,717200,28,c
15,Guainia,1069600,10,d
18,La Guajira,1086600,5,a
25,Risaralda,1014400,5,b
24,Quindio,1596600,7,a
32,Vichada,778000,8,d
15,Guainia,158400,6,e
8,Caqueta,1806600,16,e
23,Putumayo,1817600,10,b
18,La Guajira,1958200,30,c
3,Arauca,1166400,19,b
1,Amazonas,387800,5,a
9,Casanare,854600,11,a
25,Risaralda,874800,13,c
16,Guaviare,573800,29,a
4,Atlantico,1219800,27,a
8,Caqueta,1733400,19,e
2,Antioquia,1742400,17,c
5,Bolivar,1310600,28,c
2,Antioquia,1998800,8,a
10,Cauca,264400,16,a
28,Sucre,814800,5,e
15,Guainia,1000200,2,a
4,Atlantico,1630400,4,a
20,Meta,1519600,6,a
6,Boyaca,1252600,13,d
11,Cesar,1533600,22,c
27,Santander,1343200,9,c
6,Boyaca,771400,11,a
24,Quindio,981800,10,a
7,Caldas,231800,25,c
29,Tolima,1000000,13,b
22,Norte de Santander,24200,3,a
26,San Andres y Providencia,286400,2,e
7,Caldas,1492200,0,a
10,Cauca,1907600,17,d
24,Quindio,499400,7,c
3,Arauca,245400,9,d
7,Caldas,983600,29,e
15,Guainia,587400,4,a
17,Huila,745400,23,c
23,Putumayo,378000,6,c
16,Guaviare,1717600,8,c
30,Valle del Cauca,1899800,12,c
31,Vaupes,30800,4,b
15,Guainia,1373600,26,e
1,Amazonas,849200,14,c
17,Huila,807800,21,b
23,Putumayo,205200,3,c
22,Norte de Santander,97400,9,e
19,Magdalena,628400,9,e
24,Quindio,374800,15,c
10,Cauca,1802400,9,d
10,Cauca,182400,3,a
23,Putumayo,1665800,5,a
5,Bolivar,616600,2,c
9,Casanare,1603200,23,e
12,Choco,1510800,19,b
26,San Andres y Providencia,1786000,20,a
32,Vichada,1001200,20,a
15,Guainia,1046200,27,e
18,La Guajira,714200,6,c
10,Cauca,699800,29,c
6,Boyaca,1790600,26,a
27,Santander,1750000,27,b
2,Antioquia,442600,20,d
17,Huila,703400,28,c
8,Caqueta,1372600,22,d
32,Vichada,1686200,27,e
32,Vichada,396800,9,d
30,Valle del Cauca,279800,9,c
2,Antioquia,826200,7,d
12,Choco,882200,12,d
4,Atlantico,82800,22,a
3,Arauca,414800,23,c
1,Amazonas,90400,19,c
17,Huila,1986400,10,b
13,Cordoba,882000,2,e
1,Amazonas,979200,17,a
30,Valle del Cauca,1824800,6,c
20,Meta,66000,18,d
14,Cundinamarca,141200,5,a
26,San Andres y Providencia,121400,1,d
11,Cesar,1840200,24,c
15,Guainia,888000,15,a
28,Sucre,1440400,3,a
30,Valle del Cauca,1229000,14,b
14,Cundinamarca,280600,20,c
27,Santander,1761000,4,b
16,Guaviare,42400,2,a
31,Vaupes,1405200,21,e
13,Cordoba,5400,22,c
28,Sucre,519600,1,c
16,Guaviare,1967800,21,e
30,Valle del Cauca,490000,2,b
3,Arauca,1760000,17,c
14,Cundinamarca,1650000,1,a
25,Risaralda,407000,17,a
11,Cesar,1696600,18,c
30,Valle del Cauca,638600,26,c
30,Valle del Cauca,1032600,20,c
3,Arauca,1683400,4,b
21,Narino,575600,30,d
15,Guainia,1516600,24,c
5,Bolivar,1044000,17,b
19,Magdalena,1284600,0,d
13,Cordoba,133800,22,a
20,Meta,1993000,29,a
6,Boyaca,1266200,27,e
23,Putumayo,309200,4,a
7,Caldas,1945600,8,a
7,Caldas,311000,21,a
8,Caqueta,673600,5,b
14,Cundinamarca,1183000,21,d
10,Cauca,273200,27,c
25,Risaralda,625400,1,e
26,San Andres y Providencia,1876000,25,e
8,Caqueta,1530400,8,c
16,Guaviare,626000,21,c
26,San Andres y Providencia,1091600,14,d
31,Vaupes,1667600,8,e
29,Tolima,1541200,12,b
1,Amazonas,1909800,17,d
27,Santander,1556000,5,e
29,Tolima,233600,30,e
15,Guainia,15600,26,b
5,Bolivar,1885200,24,b
26,San Andres y Providencia,1842200,25,b
29,Tolima,605000,8,d
25,Risaralda,490600,3,e
29,Tolima,763600,18,c
28,Sucre,1590600,15,e
17,Huila,1028400,5,c
10,Cauca,504600,18,a
1,Amazonas,1503600,17,e
9,Casanare,1922600,18,d
15,Guainia,1303800,28,c
5,Bolivar,255400,1,e
8,Caqueta,1075600,19,d
1,Amazonas,914000,10,c
25,Risaralda,275000,13,d
32,Vichada,1451600,19,a
26,San Andres y Providencia,1549800,22,b
20,Meta,731000,5,c
22,Norte de Santander,1666200,12,e
3,Arauca,583400,3,b
23,Putumayo,1788400,24,e
27,Santander,1575800,20,c
1,Amazonas,1019000,12,d
2,Antioquia,1483000,29,b
16,Guaviare,1781200,4,a
20,Meta,1318800,25,b
25,Risaralda,132000,23,b
24,Quindio,351400,22,e
11,Cesar,1492600,24,d
8,Caqueta,1848800,19,e
31,Vaupes,148800,7,d
19,Magdalena,965200,11,a
30,Valle del Cauca,1242800,29,e
23,Putumayo,1388000,19,d
3,Arauca,1409200,12,e
15,Guainia,263400,15,d
31,Vaupes,73600,23,a
20,Meta,287000,19,b
8,Caqueta,931800,24,b
6,Boyaca,1933800,7,e
12,Choco,530800,25,a
32,Vichada,927000,28,d
1,Amazonas,711600,26,d
28,Sucre,117000,20,b
10,Cauca,1837000,2,b
4,Atlantico,1195000,20,b
31,Vaupes,236200,1,a
21,Narino,1547200,7,e
25,Risaralda,757400,22,d
16,Guaviare,1864200,9,a
21,Narino,1355400,5,a
30,Valle del Cauca,1354400,1,e
28,Sucre,1035800,15,b
4,Atlantico,307000,25,c
16,Guaviare,1412600,24,a
25,Risaralda,231000,30,b
2,Antioquia,829000,11,c
22,Norte de Santander,1384200,30,a
11,Cesar,1525200,13,c
5,Bolivar,62000,2,d
3,Arauca,548000,24,c
26,San Andres y Providencia,79000,23,d
5,Bolivar,706000,5,d
7,Caldas,1913000,29,c
7,Caldas,639800,22,c
23,Putumayo,519400,2,e
3,Arauca,1554000,6,c
26,San Andres y Providencia,1362800,2,c
30,Valle del Cauca,927400,26,a
18,La Guajira,344200,12,a
24,Quindio,759200,13,a
6,Boyaca,949800,27,c
29,Tolima,1655800,13,b
10,Cauca,1038800,27,c
9,Casanare,305800,15,e
3,Arauca,426000,25,b
32,Vichada,571400,14,b
23,Putumayo,384600,15,e
20,Meta,767600,6,b
27,Santander,1973800,7,d
30,Valle del Cauca,1567400,23,d
5,Bolivar,291600,5,d
17,Huila,122000,5,d
7,Caldas,1594400,3,c
10,Cauca,355000,1,c
15,Guainia,1405600,26,c
5,Bolivar,903800,6,e
11,Cesar,856000,9,b
3,Arauca,1567400,11,d
3,Arauca,1739400,11,a
27,Santander,1223600,15,b
21,Narino,1940800,1,e
26,San Andres y Providencia,167600,13,c
18,La Guajira,242600,30,d
6,Boyaca,1466200,25,a
6,Boyaca,1697400,15,d
9,Casanare,1839800,7,a
25,Risaralda,1809800,3,c
4,Atlantico,1162400,7,c
3,Arauca,1958400,19,e
16,Guaviare,342800,5,a
12,Choco,125600,24,b
5,Bolivar,1890800,25,c
1,Amazonas,904400,8,c
30,Valle del Cauca,793000,15,c
19,Magdalena,601800,15,d
21,Narino,1272000,9,a
16,Guaviare,1499600,2,c
28,Sucre,202600,25,e
14,Cundinamarca,1082200,7,a
15,Guainia,1809400,28,d
32,Vichada,699800,8,d
5,Bolivar,1675000,1,c
3,Arauca,549200,15,e
5,Bolivar,1450000,14,c
23,Putumayo,971200,2,e
9,Casanare,1480600,30,b
23,Putumayo,129400,5,a
11,Cesar,693000,7,b
13,Cordoba,1707800,22,c
3,Arauca,506000,21,e
1,Amazonas,1553200,12,c
14,Cundinamarca,1012400,1,d
30,Valle del Cauca,820600,14,a
3,Arauca,1239600,15,a
7,Caldas,707800,10,c
5,Bolivar,619200,22,e
16,Guaviare,816800,24,d
31,Vaupes,1912600,13,a
2,Antioquia,1672000,29,a
13,Cordoba,1752600,21,a
15,Guainia,383200,25,d
20,Meta,613400,3,b
21,Narino,1615200,24,d
9,Casanare,540200,3,d
31,Vaupes,1887200,4,d
9,Casanare,1316400,29,c
21,Narino,9200,19,a
2,Antioquia,898200,14,d
4,Atlantico,1849000,1,a
27,Santander,467800,20,c
27,Santander,1740800,9,b
32,Vichada,1186000,7,e
20,Meta,1141000,30,b
13,Cordoba,297000,12,d
14,Cundinamarca,1985000,10,a
13,Cordoba,1502200,1,c
17,Huila,456200,2,e
26,San Andres y Providencia,1894400,23,b
22,Norte de Santander,1114600,28,e
14,Cundinamarca,1274800,5,a
18,La Guajira,489600,9,e
16,Guaviare,1419400,5,e
24,Quindio,983400,16,e
28,Sucre,1718400,6,b
20,Meta,1723200,22,b
7,Caldas,1176400,22,d
16,Guaviare,835600,8,e
3,Arauca,1781400,21,e
20,Meta,241800,0,e
18,La Guajira,243600,11,a
26,San Andres y Providencia,829000,19,c
2,Antioquia,1385800,19,e
22,Norte de Santander,552200,25,b
21,Narino,305200,17,b
9,Casanare,759600,25,d
16,Guaviare,1204800,14,e
14,Cundinamarca,787000,8,c
17,Huila,351600,17,c
6,Boyaca,1800000,25,a
3,Arauca,79800,1,c
11,Cesar,956800,7,e
4,Atlantico,1532200,27,b
27,Santander,453400,6,c
9,Casanare,1639800,21,b
10,Cauca,1265800,25,b
18,La Guajira,1952400,29,b
18,La Guajira,1449800,14,b
27,Santander,853800,14,c
27,Santander,1178800,9,e
4,Atlantico,195800,4,b
15,Guainia,1215200,18,a
1,Amazonas,1526200,18,e
9,Casanare,1514400,24,b
12,Choco,33200,19,b
1,Amazonas,1371800,4,c
1,Amazonas,154000,19,d
28,Sucre,963000,16,e
28,Sucre,564800,18,b
14,Cundinamarca,1489600,27,d
26,San Andres y Providencia,883000,18,c
28,Sucre,984200,8,a
12,Choco,1007000,7,e
20,Meta,1400400,26,a
19,Magdalena,103000,26,a
8,Caqueta,1015400,28,c
10,Cauca,1281400,17,e
23,Putumayo,200200,28,b
4,Atlantico,1573000,6,c
26,San Andres y Providencia,967800,6,b
15,Guainia,1590000,21,c
23,Putumayo,1243200,12,c
31,Vaupes,123600,10,a
12,Choco,1316800,26,d
9,Casanare,1368200,27,b
31,Vaupes,249200,4,a
3,Arauca,1981800,19,d
15,Guainia,1525000,28,e
2,Antioquia,1237800,21,c
22,Norte de Santander,1880200,15,e
17,Huila,1140000,8,c
15,Guainia,1082000,19,b
32,Vichada,992600,3,a
11,Cesar,1948200,19,a
30,Valle del Cauca,258200,28,c
25,Risaralda,513000,20,e
26,San Andres y Providencia,1562400,2,b
7,Caldas,1205000,3,e
26,San Andres y Providencia,484800,15,e
27,Santander,888800,21,e
6,Boyaca,438800,18,e
17,Huila,659000,24,b
19,Magdalena,1190400,22,b
10,Cauca,494000,6,e
11,Cesar,615600,30,b
1,Amazonas,962600,24,d
30,Valle del Cauca,51000,4,b
16,Guaviare,1913400,27,c
30,Valle del Cauca,683800,8,e
3,Arauca,1678800,3,b
31,Vaupes,1137400,30,b
22,Norte de Santander,19600,12,a
7,Caldas,130200,11,b
15,Guainia,1544000,9,d
17,Huila,858200,0,e
9,Casanare,707200,5,d
4,Atlantico,388800,9,a
23,Putumayo,1071800,5,e
22,Norte de Santander,1052800,9,d
32,Vichada,1689000,20,b
7,Caldas,1389200,15,e
21,Narino,511800,18,d
15,Guainia,435000,26,d
32,Vichada,628000,30,d
24,Quindio,913200,0,d
30,Valle del Cauca,98800,11,d
13,Cordoba,1443600,25,d
10,Cauca,997000,14,a
14,Cundinamarca,447000,17,d
24,Quindio,1867200,10,e
18,La Guajira,537600,9,a
16,Guaviare,1845200,11,b
8,Caqueta,50200,23,a
26,San Andres y Providencia,1015200,6,b
19,Magdalena,414800,22,c
18,La Guajira,1878200,19,c
29,Tolima,733800,25,e
12,Choco,408200,11,e
22,Norte de Santander,1552400,3,c
2,Antioquia,713400,15,c
13,Cordoba,624600,25,d
10,Cauca,266800,12,b
9,Casanare,103600,27,e
8,Caqueta,1442000,26,c
6,Boyaca,1385000,6,c
2,Antioquia,1519800,20,d
21,Narino,220600,6,b
24,Quindio,184200,15,d
10,Cauca,1366400,29,e
23,Putumayo,1574800,7,e
12,Choco,194200,29,c
1,Amazonas,1253600,17,e
25,Risaralda,854600,24,c
14,Cundinamarca,1222200,14,d
32,Vichada,1627000,6,e
10,Cauca,420000,11,b
2,Antioquia,1853800,30,b
8,Caqueta,136400,5,d
9,Casanare,477400,12,b
14,Cundinamarca,1314600,12,e
29,Tolima,1624800,9,a
23,Putumayo,1378000,21,b
30,Valle del Cauca,968800,3,c
14,Cundinamarca,1616200,25,e
16,Guaviare,1159600,9,a
1,Amazonas,1594800,15,c
23,Putumayo,289400,20,d
32,Vichada,1738800,2,c
15,Guainia,303800,15,a
32,Vichada,1844000,10,e
9,Casanare,1152800,18,b
17,Huila,638000,11,d
15,Guainia,434600,18,d
12,Choco,1529800,25,d
18,La Guajira,1935000,25,a
14,Cundinamarca,1062400,19,a
21,Narino,563800,21,b
22,Norte de Santander,1451400,20,a
13,Cordoba,831600,15,e
23,Putumayo,174200,22,b
10,Cauca,1521200,10,e
6,Boyaca,1796600,5,a
2,Antioquia,27200,26,e
15,Guainia,182000,28,d
1,Amazonas,699800,4,d
1,Amazonas,238400,19,c
26,San Andres y Providencia,1064000,14,b
18,La Guajira,1904200,14,d
12,Choco,1021000,7,d
10,Cauca,589000,6,e
16,Guaviare,1373800,0,d
14,Cundinamarca,1441000,3,e
24,Quindio,436000,15,a
31,Vaupes,1399200,10,a
18,La Guajira,329000,4,d
21,Narino,813000,4,a
24,Quindio,1631400,7,e
10,Cauca,200,8,c
11,Cesar,1396400,18,d
3,Arauca,1769400,19,d
18,La Guajira,1127600,9,b
22,Norte de Santander,1607000,24,c
27,Santander,340000,22,e
26,San Andres y Providencia,447000,16,b
14,Cundinamarca,532800,17,e
18,La Guajira,610200,1,e
14,Cundinamarca,1968400,6,e
30,Valle del Cauca,1806600,2,a
12,Choco,830600,28,a
13,Cordoba,144600,29,e
7,Caldas,616000,5,d
27,Santander,671200,3,a
6,Boyaca,1847800,20,e
6,Boyaca,1734600,0,a
5,Bolivar,1478800,6,d
32,Vichada,769200,27,d
17,Huila,1466400,16,d
14,Cundinamarca,174600,13,d
1,Amazonas,1479200,22,b
21,Narino,1828000,10,b
18,La Guajira,1114000,19,e
9,Casanare,459000,3,d
1,Amazonas,339000,23,d
15,Guainia,869200,26,c
11,Cesar,1824200,17,a
29,Tolima,1162400,25,a
27,Santander,653000,12,e
28,Sucre,211000,9,b
20,Meta,1253000,18,c
8,Caqueta,1379000,18,c
9,Casanare,780800,6,e
4,Atlantico,1619800,26,a
30,Valle del Cauca,1648800,19,c
11,Cesar,1226400,29,b
5,Bolivar,1652400,20,a
21,Narino,1326800,8,d
5,Bolivar,723000,23,d
19,Magdalena,1203200,3,c
2,Antioquia,1734000,14,b
1,Amazonas,1772000,20,c
31,Vaupes,785400,23,d
19,Magdalena,38200,27,a
13,Cordoba,1748400,26,a
8,Caqueta,1996600,7,c
11,Cesar,740600,16,c
14,Cundinamarca,1807200,15,d
16,Guaviare,323400,19,c
19,Magdalena,965200,16,a
9,Casanare,1548000,8,a
26,San Andres y Providencia,676800,7,e
1,Amazonas,1330600,2,a
7,Caldas,233000,18,e
30,Valle del Cauca,1350000,20,d
22,Norte de Santander,1442200,24,a
32,Vichada,551200,19,c
27,Santander,155600,2,e
20,Meta,1220600,22,b
32,Vichada,909800,30,d
3,Arauca,1301400,28,b
30,Valle del Cauca,760200,9,c
29,Tolima,890600,21,b
5,Bolivar,614200,28,d
2,Antioquia,1187600,28,b
18,La Guajira,1776800,25,e
23,Putumayo,607000,5,c
21,Narino,976600,9,b
14,Cundinamarca,733600,11,b
21,Narino,162200,28,e
31,Vaupes,1867000,3,d
27,Santander,504000,5,a
2,Antioquia,550600,29,b
13,Cordoba,1909600,22,c
19,Magdalena,1200,2,b
15,Guainia,1145200,17,c
22,Norte de Santander,30400,17,e
3,Arauca,268000,19,d
6,Boyaca,611200,8,c
32,Vichada,831200,21,d
13,Cordoba,1679000,26,c
31,Vaupes,74200,3,e
2,Antioquia,511800,8,e
26,San Andres y Providencia,774200,5,d
28,Sucre,319200,26,d
27,Santander,539200,3,a
7,Caldas,1402800,7,e
28,Sucre,1025600,10,b
29,Tolima,1492400,5,b
3,Arauca,622800,24,b
10,Cauca,779200,10,b
28,Sucre,779800,30,b
28,Sucre,374200,23,c
21,Narino,245800,13,c
21,Narino,569400,2,a
18,La Guajira,1364400,25,c
27,Santander,1408800,0,a
6,Boyaca,712400,27,e
11,Cesar,621000,18,c
6,Boyaca,1270000,21,b
24,Quindio,1354000,26,c
12,Choco,532000,10,a
27,Santander,104000,15,c
6,Boyaca,394400,24,d
30,Valle del Cauca,995200,11,a
29,Tolima,800200,13,e
6,Boyaca,816800,7,c
13,Cordoba,625400,4,a
12,Choco,752200,21,b
23,Putumayo,1828600,26,d
18,La Guajira,1237200,12,e
28,Sucre,1602800,18,a
4,Atlantico,1060200,20,d
3,Arauca,1119400,21,b
18,La Guajira,392800,10,c
29,Tolima,684600,8,d
14,Cundinamarca,1813800,5,e
7,Caldas,301600,9,a
18,La Guajira,489800,30,e
17,Huila,581400,1,b
13,Cordoba,515800,16,c
27,Santander,1742400,8,b
31,Vaupes,1966800,19,c
21,Narino,1930200,28,b
14,Cundinamarca,673200,3,d
27,Santander,1883400,11,a
22,Norte de Santander,461200,19,b
17,Huila,639000,25,b
19,Magdalena,722400,24,b
21,Narino,6400,1,c
18,La Guajira,969200,21,b
1,Amazonas,1733000,18,a
2,Antioquia,1030600,13,c
25,Risaralda,1121000,0,b
26,San Andres y Providencia,480600,5,d
25,Risaralda,886200,15,e
8,Caqueta,639000,27,d
11,Cesar,342000,10,b
26,San Andres y Providencia,535200,23,a
27,Santander,854000,20,b
20,Meta,1851400,13,c
9,Casanare,1776400,30,b
28,Sucre,1297200,13,c
18,La Guajira,1933800,13,d
22,Norte de Santander,569000,4,b
8,Caqueta,1001400,14,e
21,Narino,1984400,30,a
6,Boyaca,626800,5,b
20,Meta,723000,20,d
3,Arauca,1542200,24,c
3,Arauca,1106600,19,e
4,Atlantico,165400,15,d
19,Magdalena,168800,5,d
18,La Guajira,845800,14,d
30,Valle del Cauca,711600,24,c
20,Meta,715600,0,d
22,Norte de Santander,476200,29,d
28,Sucre,461400,12,c
19,Magdalena,1289600,9,b
19,Magdalena,1395000,23,a
2,Antioquia,1557200,17,e
2,Antioquia,1312000,10,a
5,Bolivar,1075200,19,a
8,Caqueta,1074400,4,e
14,Cundinamarca,1926800,23,e
22,Norte de Santander,1613400,13,e
21,Narino,17600,3,e
30,Valle del Cauca,530200,2,a
30,Valle del Cauca,1365000,0,e
23,Putumayo,526200,3,d
30,Valle del Cauca,877000,4,c
21,Narino,1759200,13,e
15,Guainia,1200200,16,d
6,Boyaca,1092600,7,e
25,Risaralda,818600,20,d
17,Huila,1621400,19,a
26,San Andres y Providencia,11800,6,c
25,Risaralda,720600,0,b
13,Cordoba,106000,9,c
32,Vichada,262600,19,a
14,Cundinamarca,925200,9,c
27,Santander,958600,30,d
9,Casanare,1704400,21,a
4,Atlantico,1323600,30,c
15,Guainia,1922400,9,d
9,Casanare,1268400,9,e
10,Cauca,1119600,10,d
31,Vaupes,1628800,1,c
3,Arauca,1233400,29,a
29,Tolima,937200,7,d
10,Cauca,598200,20,e
6,Boyaca,1827600,16,c
32,Vichada,731200,3,a
8,Caqueta,1894800,1,e
22,Norte de Santander,1578600,21,c
21,Narino,1364800,14,c
30,Valle del Cauca,1164000,21,a
